id,deputy_name,consignment_name,url,income_sum
99111399,Кидяев Виктор Борисович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111399/,5809460
99112649,Митина Елена Анатольевна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112649/,5802025
99112874,Фирюлин Иван Иванович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112874/,5796854
99111850,Каминский Александр Викторович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111850/,5783622
99111892,Марданшин Рафаэль Мирхатимович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111892/,5782495
99112878,Цыбизова Татьяна Игоревна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112878/,5775876
99112821,Носов Александр Алексеевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112821/,5770606
99111787,Бариев Марат Мансурович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111787/,5769579
99112814,Морозов Дмитрий Анатольевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112814/,5768909
99112710,Фролова Тамара Ивановна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112710/,5765377
99112812,Миронова Валентина Михайловна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112812/,5763395
99112577,Солнцева Светлана Юрьевна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112577/,5760110
99100601,Рашкин Валерий Федорович,КПРФ,http://duma.gov.ru/duma/persons/99100601/,5753265
99111844,Ильтяков Александр Владимирович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111844/,5751819
99112039,Максимов Василий Юрьевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112039/,5745901
99111823,Диденко Алексей Николаевич,ЛДПР,http://duma.gov.ru/duma/persons/99111823/,5744883
99100713,Неверов Сергей Иванович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99100713/,5741224
99110911,Афонин Юрий Вячеславович,КПРФ,http://duma.gov.ru/duma/persons/99110911/,5726904
1055914,Зайцев Максим Сергеевич,ЛДПР,http://duma.gov.ru/duma/persons/1055914/,5725052
99111912,Нилов Олег Анатольевич,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99111912/,5724537
99112725,Бахарев Константин Михайлович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112725/,5722096
99112732,Бикбаев Ильдар Зинурович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112732/,5715817
99107264,Бугера Михаил Евгеньевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99107264/,5708825
99111877,Курбанов Ризван Даниялович,КПРФ,http://duma.gov.ru/duma/persons/99111877/,5699845
1055911,Пиляев Иван Сергеевич,ЛДПР,http://duma.gov.ru/duma/persons/1055911/,5698863
99112847,Савченко Светлана Борисовна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112847/,5696466
99112815,Москвин Денис Павлович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112815/,5696257
99112729,Березуцкий Юрий Николаевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112729/,5690270
99112915,Кувшинова Наталья Сергеевна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112915/,5682430
99111920,Петров Александр Петрович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111920/,5682305
99110927,Валенчук Олег Дорианович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99110927/,5681701
99111018,Новиков Дмитрий Георгиевич,КПРФ,http://duma.gov.ru/duma/persons/99111018/,5679864
99112871,Тутова Лариса Николаевна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112871/,5669268
99112790,Крючек Сергей Иванович,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99112790/,5659657
99112650,Туров Артём Викторович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112650/,5658184
1055897,Быков Олег Петрович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/1055897/,5657044
99112842,Романов Михаил Валентинович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112842/,5654856
99112816,Натаров Сергей Васильевич,ЛДПР,http://duma.gov.ru/duma/persons/99112816/,5648126
99112919,Павлова Ольга Ивановна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112919/,5646379
99111951,Тайсаев Казбек Куцукович,КПРФ,http://duma.gov.ru/duma/persons/99111951/,5644735
99112933,Касаева Татьяна Викторовна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112933/,5641777
1055899,Кривенко Татьяна Олеговна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/1055899/,5639175
99112820,Новиков Владимир Михайлович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112820/,5635991
99112000,Селимханов Магомед Саламович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112000/,5633294
99112777,Каличенко Андрей Владимирович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112777/,5632673
99112737,Бондарь Оксана Андреевна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112737/,5632587
99112719,Альшевских Андрей Геннадьевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112719/,5632436
99112929,Поклонская Наталья Владимировна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112929/,5628639
99111852,Каргинов Сергей Генрихович,ЛДПР,http://duma.gov.ru/duma/persons/99111852/,5625815
99100654,Шаккум Мартин Люцианович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99100654/,5625811
99112880,Черкесов Леонид Ильич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112880/,5625577
99111936,Савельев Дмитрий Иванович,ЛДПР,http://duma.gov.ru/duma/persons/99111936/,5624473
99112775,Кавинов Артем Александрович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112775/,5624421
99111893,Маринин Сергей Владимирович,ЛДПР,http://duma.gov.ru/duma/persons/99111893/,5622436
99112891,Шперов Павел Валентинович,ЛДПР,http://duma.gov.ru/duma/persons/99112891/,5622236
99112776,Казанков Сергей Иванович,КПРФ,http://duma.gov.ru/duma/persons/99112776/,5620556
99112924,Догаев Ахмед Шамханович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112924/,5619432
99112745,Веллер Алексей Борисович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112745/,5619372
99111981,Ющенко Александр Андреевич,КПРФ,http://duma.gov.ru/duma/persons/99111981/,5618635
99112851,Сапрыкина Татьяна Васильевна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112851/,5618224
99102119,Емельянов Михаил Васильевич,СПРАВЕДЛИВАЯ РОССИЯ,http://duma.gov.ru/duma/persons/99102119/,5617800
99112747,Власов Василий Максимович,ЛДПР,http://duma.gov.ru/duma/persons/99112747/,5617640
99112736,Бондаренко Елена Вениаминовна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112736/,5616864
99112917,Пушкарев Владимир Александрович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112917/,5616807
99112126,Тимофеева Ольга Викторовна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112126/,5616685
99110934,Гаврилов Сергей Анатольевич,КПРФ,http://duma.gov.ru/duma/persons/99110934/,5616495
99112806,Марков Андрей Павлович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112806/,5616118
99111836,Журавлев Алексей Александрович,"Депутаты, не входящие во фракции",http://duma.gov.ru/duma/persons/99111836/,5616111
99109636,Чиндяскин Сергей Викторович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99109636/,5615733
99111048,Свищев Дмитрий Александрович,ЛДПР,http://duma.gov.ru/duma/persons/99111048/,5615400
99112127,Казакова Ольга Михайловна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112127/,5615315
99112913,Будуев Николай Робертович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112913/,5614843
99111086,Шхагошев Адальби Люлевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111086/,5614209
99111795,Бифов Анатолий Жамалович,КПРФ,http://duma.gov.ru/duma/persons/99111795/,5613123
99111827,Дорохин Павел Сергеевич,КПРФ,http://duma.gov.ru/duma/persons/99111827/,5612667
99100776,Слуцкий Леонид Эдуардович,ЛДПР,http://duma.gov.ru/duma/persons/99100776/,5612436
99113072,Андрейченко Андрей Валерьевич,ЛДПР,http://duma.gov.ru/duma/persons/99113072/,5612436
